dataset,role,variant,inference_mode,seed,seed_path,DONE_present,report_json_present,gpu_name,amp_dtype,val_metric,test_metric,failure_block_absent
sberbank-housing,baseline,baseline_plr,mean,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/baseline_plr-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.23480622040548557,0.2391408907076616,True
sberbank-housing,selected,leo_plr_lam005_start10,mean,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/sberbank-housing/leo_plr_lam005_start10-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.23444261370354497,0.23493624880133557,True
sberbank-housing,baseline,baseline_plr,mean,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/baseline_plr-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.23700052556349832,0.23331874620163198,True
sberbank-housing,selected,leo_plr_lam005_start10,mean,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/sberbank-housing/leo_plr_lam005_start10-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.23721397298657163,0.2321904175961401,True
sberbank-housing,baseline,baseline_plr,mean,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/baseline_plr-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.2358837284303709,0.2320529670699075,True
sberbank-housing,selected,leo_plr_lam005_start10,mean,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/sberbank-housing/leo_plr_lam005_start10-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.23616571599442118,0.2323271373999992,True
ecom-offers,baseline,baseline_plr,mean,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/baseline_plr-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6226852415226236,0.5911614812153028,True
ecom-offers,selected,leo_plr_lam010_start00,mean,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/ecom-offers/leo_plr_lam010_start00-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6233782415618205,0.5918300512679888,True
ecom-offers,baseline,baseline_plr,mean,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/baseline_plr-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6203053839238054,0.58970423009353,True
ecom-offers,selected,leo_plr_lam010_start00,mean,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/ecom-offers/leo_plr_lam010_start00-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6204820281021828,0.589716314962774,True
ecom-offers,baseline,baseline_plr,mean,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/baseline_plr-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6211350830890257,0.5892277099685437,True
ecom-offers,selected,leo_plr_lam010_start00,mean,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/ecom-offers/leo_plr_lam010_start00-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6218115876900515,0.5898484798536272,True
cooking-time,baseline,baseline_plr,mean,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/baseline_plr-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.46275485337204375,0.48026762994122546,True
cooking-time,selected,leo_plr_lam002_start25,mean,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/cooking-time/leo_plr_lam002_start25-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.4627542898544971,0.48025853900675447,True
cooking-time,baseline,baseline_plr,mean,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/baseline_plr-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.46277563863980886,0.48049554517508847,True
cooking-time,selected,leo_plr_lam002_start25,mean,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/leo/cooking-time/leo_plr_lam002_start25-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.462770148586224,0.48050605815160635,True
