dataset,role,variant,inference_mode,seed,seed_path,DONE_present,report_json_present,gpu_name,amp_dtype,val_metric,test_metric,failure_block_absent
ecom-offers,baseline,baseline_plr,best-head,0,/workspace/tabm/paper/exp/rla/ecom-offers/baseline_plr-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6396333976576802,0.6015047655173966,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,best-head,0,/workspace/tabm/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6460841090157122,0.6073292261680396,True
ecom-offers,baseline,baseline_plr,best-head,1,/workspace/tabm/paper/exp/rla/ecom-offers/baseline_plr-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6312673212235393,0.5961957327536331,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,best-head,1,/workspace/tabm/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6428741358118808,0.6054408250972217,True
ecom-offers,baseline,baseline_plr,best-head,2,/workspace/tabm/paper/exp/rla/ecom-offers/baseline_plr-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6337543291496195,0.5976777301170179,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,best-head,2,/workspace/tabm/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6327898730156404,0.5962208540322235,True
ecom-offers,baseline,baseline_plr,greedy-heads,0,/workspace/tabm/paper/exp/rla/ecom-offers/baseline_plr-greedy-heads-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6396333976576802,0.6015047655173966,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,greedy-heads,0,/workspace/tabm/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-greedy-heads-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6460841090157122,0.6073292261680396,True
ecom-offers,baseline,baseline_plr,greedy-heads,1,/workspace/tabm/paper/exp/rla/ecom-offers/baseline_plr-greedy-heads-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6325148900811958,0.5971204654604394,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,greedy-heads,1,/workspace/tabm/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-greedy-heads-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6428741358118808,0.6054408250972217,True
ecom-offers,baseline,baseline_plr,greedy-heads,2,/workspace/tabm/paper/exp/rla/ecom-offers/baseline_plr-greedy-heads-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6352070664688177,0.5997018387833686,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,greedy-heads,2,/workspace/tabm/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-greedy-heads-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6327898730156404,0.5962208540322235,True
