dataset,matched_baseline,selected_config,validation_baseline,validation_selected,test_baseline,test_selected,delta,percent_delta,n_seeds,claim_status,metric,seeds,validation_score_delta,test_score_delta
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150:best-head,0.6396333976576802,0.6460841090157122,0.6015047655173966,0.6073292261680396,0.005824460650643015,0.968314963495424,1,loss,roc-auc,0,0.006450711358031991,0.005824460650643015
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150:greedy-heads,0.6396333976576802,0.6460841090157122,0.6015047655173966,0.6073292261680396,0.005824460650643015,0.968314963495424,1,loss,roc-auc,0,0.006450711358031991,0.005824460650643015
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e5_lr150:best-head,0.6396333976576802,0.6458619439141245,0.6015047655173966,0.6072514106442536,0.005746645126856964,0.9553781543050403,1,loss,roc-auc,0,0.006228546256444312,0.005746645126856964
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e5_lr150:greedy-heads,0.6396333976576802,0.6458619439141245,0.6015047655173966,0.6072514106442536,0.005746645126856964,0.9553781543050403,1,loss,roc-auc,0,0.006228546256444312,0.005746645126856964
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e6_lr150:best-head,0.6396333976576802,0.6458196623765603,0.6015047655173966,0.6071935929600067,0.005688827442610123,0.9457659803770235,1,loss,roc-auc,0,0.0061862647188800635,0.005688827442610123
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e6_lr150:greedy-heads,0.6396333976576802,0.6458196623765603,0.6015047655173966,0.6071935929600067,0.005688827442610123,0.9457659803770235,1,loss,roc-auc,0,0.0061862647188800635,0.005688827442610123
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e6_lr075:best-head,0.6396333976576802,0.644288100006638,0.6015047655173966,0.6062747368656874,0.004769971348290825,0.7930064102131986,1,loss,roc-auc,0,0.004654702348957818,0.004769971348290825
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e6_lr075:greedy-heads,0.6396333976576802,0.644288100006638,0.6015047655173966,0.6062747368656874,0.004769971348290825,0.7930064102131986,1,loss,roc-auc,0,0.004654702348957818,0.004769971348290825
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e5_lr075:best-head,0.6396333976576802,0.6440195184520197,0.6015047655173966,0.6060915235530724,0.004586758035675764,0.7625472479391532,1,loss,roc-auc,0,0.004386120794339421,0.004586758035675764
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e5_lr075:greedy-heads,0.6396333976576802,0.6440195184520197,0.6015047655173966,0.6060915235530724,0.004586758035675764,0.7625472479391532,1,loss,roc-auc,0,0.004386120794339421,0.004586758035675764
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr075:best-head,0.6396333976576802,0.6438001025901272,0.6015047655173966,0.6059471405153712,0.0044423749979746185,0.7385436080715702,1,loss,roc-auc,0,0.004166704932446974,0.0044423749979746185
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr075:greedy-heads,0.6396333976576802,0.6438001025901272,0.6015047655173966,0.6059471405153712,0.0044423749979746185,0.7385436080715702,1,loss,roc-auc,0,0.004166704932446974,0.0044423749979746185
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r2_bf16_n1e6_lr125:best-head,0.6446551124500212,0.6479109271988502,0.6040511426211326,0.606394342666985,0.0023432000458524227,0.3879141815185843,1,loss,roc-auc,0,0.003255814748829078,0.0023432000458524227
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r2_bf16_n1e5_lr125:best-head,0.6446551124500212,0.647892519085878,0.6040511426211326,0.6063879081482493,0.002336765527116702,0.38684895404334113,1,loss,roc-auc,0,0.00323740663585681,0.002336765527116702
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e6_lr050:greedy-heads,0.6396333976576802,0.6426312040002631,0.6015047655173966,0.6051580534145146,0.0036532878971179406,0.6073580969845668,1,loss,roc-auc,0,0.0029978063425828427,0.0036532878971179406
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr050:greedy-heads,0.6396333976576802,0.6424961780040275,0.6015047655173966,0.6050461219236166,0.0035413564062199976,0.5887495177488457,1,loss,roc-auc,0,0.002862780346347238,0.0035413564062199976
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r2_bf16_n1e5_lr050:greedy-heads,0.6396333976576802,0.6423763723294287,0.6015047655173966,0.6049917787555078,0.0034870132381111807,0.5797149811625774,1,loss,roc-auc,0,0.0027429746717484438,0.0034870132381111807
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r2_bf16_n1e4_lr125:best-head,0.6446551124500212,0.6472815576858961,0.6040511426211326,0.6061716481888324,0.0021205055676998263,0.35104735643714036,1,loss,roc-auc,0,0.0026264452358749635,0.0021205055676998263
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r2_bf16_n1e6_lr075:best-head,0.6446551124500212,0.6469164431760828,0.6040511426211326,0.6057077305461096,0.0016565879249770266,0.2742463026869989,1,loss,roc-auc,0,0.0022613307260616056,0.0016565879249770266
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r2_bf16_n1e6_lr050:best-head,0.6446551124500212,0.6468483092035833,0.6040511426211326,0.606610739003485,0.0025595963823524803,0.4237383562003933,1,loss,roc-auc,0,0.00219319675356211,0.0025595963823524803
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r2_bf16_n1e5_lr050:best-head,0.6446551124500212,0.64682675752297,0.6040511426211326,0.6065769732775181,0.0025258306563855637,0.41814847753210727,1,loss,roc-auc,0,0.002171645072948869,0.0025258306563855637
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e6_lr050:best-head,0.6396333976576802,0.6417457240146324,0.6015047655173966,0.6039039793506251,0.0023992138332284974,0.39886863259757627,1,loss,roc-auc,0,0.0021123263569521322,0.0023992138332284974
