dataset,variant,n,mean,std,paired_t,paired_p,seeds
sberbank-housing,baseline_plr,15,-0.232882,0.002196,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
sberbank-housing,hetero_raw_lam0.05,15,-0.233056,0.002605,-0.3059058701367144,0.7641778975503509,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
sberbank-housing,hetero_raw_lam0.1,15,-0.233095,0.002394,-0.3379315179959964,0.7404286365053463,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
sberbank-housing,hetero_raw_lam0.2,15,-0.233137,0.002452,-0.5013907575290801,0.6238877314638054,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
ecom-offers,baseline_plr,15,0.590172,0.001508,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
ecom-offers,hetero_raw_lam0.05,15,0.590073,0.001487,-0.7142149158576572,0.4868325184918212,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
ecom-offers,hetero_raw_lam0.1,15,0.590089,0.001481,-0.6109915887981731,0.5509969887636637,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
ecom-offers,hetero_raw_lam0.2,15,0.590046,0.001484,-0.8772617202103954,0.3951495632329318,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
homesite-insurance,baseline_plr,15,0.962372,0.000298,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
homesite-insurance,hetero_raw_lam0.05,15,0.962735,0.000274,5.02595236375745,0.0001853834970029447,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
homesite-insurance,hetero_raw_lam0.1,15,0.962672,0.000280,3.3513383179460745,0.004751297075984109,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
homesite-insurance,hetero_raw_lam0.2,15,0.962648,0.000265,5.400495311451113,9.352834981612298e-05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
cooking-time,baseline_plr,15,-0.482375,0.000131,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
cooking-time,hetero_raw_lam0.05,15,-0.482431,0.000106,-1.553948570321676,0.14250621419608916,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
cooking-time,hetero_raw_lam0.1,15,-0.482512,0.000116,-3.171918765389988,0.006789262522395363,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
cooking-time,hetero_raw_lam0.2,15,-0.482469,0.000111,-2.421082938819206,0.02964612514260523,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
delivery-eta,baseline_plr,15,-0.551563,0.002073,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
delivery-eta,hetero_raw_lam0.05,15,-0.553538,0.002290,-2.1140970367126903,0.052933098245489425,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
delivery-eta,hetero_raw_lam0.1,15,-0.553378,0.003021,-2.143684967623922,0.0501026290871892,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
delivery-eta,hetero_raw_lam0.2,15,-0.553596,0.002553,-2.108463394641946,0.05348854830201289,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
sberbank-housing,consensus_raw_lam0.05,5,-0.233064,0.001552,1.1590525615109275,0.31091371085226865,"[0, 1, 2, 3, 4]"
sberbank-housing,consensus_raw_lam0.1,5,-0.234097,0.002589,0.23802567836985927,0.8235570025415091,"[0, 1, 2, 3, 4]"
sberbank-housing,consensus_raw_lam0.2,5,-0.232447,0.000668,1.8275264504062108,0.14163367312670738,"[0, 1, 2, 3, 4]"
ecom-offers,consensus_raw_lam0.05,5,0.589881,0.000992,-2.208263745246272,0.0918034373632911,"[0, 1, 2, 3, 4]"
ecom-offers,consensus_raw_lam0.1,5,0.589825,0.001073,-4.703201915779488,0.00928633456563687,"[0, 1, 2, 3, 4]"
ecom-offers,consensus_raw_lam0.2,5,0.589696,0.001060,-2.6484574764359343,0.05707365489594639,"[0, 1, 2, 3, 4]"
homesite-insurance,consensus_raw_lam0.05,5,0.962805,0.000333,2.365445890372614,0.0772030972754342,"[0, 1, 2, 3, 4]"
homesite-insurance,consensus_raw_lam0.1,5,0.962790,0.000284,2.7867173695999514,0.04947764032012686,"[0, 1, 2, 3, 4]"
