dataset,variant,source_variant,metric,direction,validation_metric,test_metric,mean,std,n_seeds,baseline_mean,absolute_delta,percent_delta,precision,inference_mode,config_path,result_path,status
sberbank-housing,baseline_plr,baseline_plr,RMSE,lower,0.23552481981288087,0.23441786078206484,0.23441786078206484,0.0035482159973780638,3,0.23441786078206484,0.0,0.0,3 seeds,mean,exp/integrated/final/sberbank-housing/baseline_plr-evaluation/0.toml;exp/integrated/final/sberbank-housing/baseline_plr-evaluation/1.toml;exp/integrated/final/sberbank-housing/baseline_plr-evaluation/2.toml,exp/integrated/final/sberbank-housing/baseline_plr-evaluation/0;exp/integrated/final/sberbank-housing/baseline_plr-evaluation/1;exp/integrated/final/sberbank-housing/baseline_plr-evaluation/2,baseline
sberbank-housing,best_rla_only,rla_rank2_noise0.001,RMSE,lower,0.23385412997377952,0.2323679570932143,0.2323679570932143,0.002285510337847783,3,0.23441786078206484,0.002049903688850524,0.8744656580397225,3 seeds,greedy-heads,exp/integrated/final/sberbank-housing/best_rla_only-evaluation/0.toml;exp/integrated/final/sberbank-housing/best_rla_only-evaluation/1.toml;exp/integrated/final/sberbank-housing/best_rla_only-evaluation/2.toml,exp/integrated/final/sberbank-housing/best_rla_only-greedy-heads-evaluation/0;exp/integrated/final/sberbank-housing/best_rla_only-greedy-heads-evaluation/1;exp/integrated/final/sberbank-housing/best_rla_only-greedy-heads-evaluation/2,weak_win
sberbank-housing,best_esam_only,esam_rho0.0025,RMSE,lower,0.23381482399811443,0.23440607616465495,0.23440607616465495,0.004011724082624796,3,0.23441786078206484,1.1784617409887899e-05,0.005027184093640331,3 seeds,greedy-heads,exp/integrated/final/sberbank-housing/best_esam_only-evaluation/0.toml;exp/integrated/final/sberbank-housing/best_esam_only-evaluation/1.toml;exp/integrated/final/sberbank-housing/best_esam_only-evaluation/2.toml,exp/integrated/final/sberbank-housing/best_esam_only-greedy-heads-evaluation/0;exp/integrated/final/sberbank-housing/best_esam_only-greedy-heads-evaluation/1;exp/integrated/final/sberbank-housing/best_esam_only-greedy-heads-evaluation/2,weak_win
sberbank-housing,best_mfb_only,mfb_keep0.8,RMSE,lower,0.23321906081613947,0.23509963234240183,0.23509963234240183,0.003956610803973734,3,0.23441786078206484,-0.0006817715603369967,-0.29083601311882573,3 seeds,greedy-heads,exp/integrated/final/sberbank-housing/best_mfb_only-evaluation/0.toml;exp/integrated/final/sberbank-housing/best_mfb_only-evaluation/1.toml;exp/integrated/final/sberbank-housing/best_mfb_only-evaluation/2.toml,exp/integrated/final/sberbank-housing/best_mfb_only-greedy-heads-evaluation/0;exp/integrated/final/sberbank-housing/best_mfb_only-greedy-heads-evaluation/1;exp/integrated/final/sberbank-housing/best_mfb_only-greedy-heads-evaluation/2,loss
sberbank-housing,best_cf_fisd_only,cf_fisd_only,RMSE,lower,0.23407921163352594,0.23309306252476805,0.23309306252476805,0.0005850816922811394,3,0.23441786078206484,0.0013247982572967831,0.5651439070713261,3 seeds,greedy-heads,exp/integrated/final/sberbank-housing/best_cf_fisd_only-evaluation/0.toml;exp/integrated/final/sberbank-housing/best_cf_fisd_only-evaluation/1.toml;exp/integrated/final/sberbank-housing/best_cf_fisd_only-evaluation/2.toml,exp/integrated/final/sberbank-housing/best_cf_fisd_only-greedy-heads-evaluation/0;exp/integrated/final/sberbank-housing/best_cf_fisd_only-greedy-heads-evaluation/1;exp/integrated/final/sberbank-housing/best_cf_fisd_only-greedy-heads-evaluation/2,weak_win
sberbank-housing,best_combined,mfb_cf_fisd,RMSE,lower,0.23329192884803412,0.23497877374993395,0.23497877374993395,0.003370630932382365,3,0.23441786078206484,-0.0005609129678691149,-0.2392791086813083,3 seeds,greedy-heads,exp/integrated/final/sberbank-housing/best_combined-evaluation/0.toml;exp/integrated/final/sberbank-housing/best_combined-evaluation/1.toml;exp/integrated/final/sberbank-housing/best_combined-evaluation/2.toml,exp/integrated/final/sberbank-housing/best_combined-greedy-heads-evaluation/0;exp/integrated/final/sberbank-housing/best_combined-greedy-heads-evaluation/1;exp/integrated/final/sberbank-housing/best_combined-greedy-heads-evaluation/2,loss
ecom-offers,baseline_plr,baseline_plr,AUROC,higher,0.6214296509780997,0.5900580480375381,0.5900580480375381,0.0009703638630149601,3,0.5900580480375381,0.0,0.0,3 seeds,mean,exp/integrated/final/ecom-offers/baseline_plr-evaluation/0.toml;exp/integrated/final/ecom-offers/baseline_plr-evaluation/1.toml;exp/integrated/final/ecom-offers/baseline_plr-evaluation/2.toml,exp/integrated/final/ecom-offers/baseline_plr-evaluation/0;exp/integrated/final/ecom-offers/baseline_plr-evaluation/1;exp/integrated/final/ecom-offers/baseline_plr-evaluation/2,baseline
ecom-offers,best_rla_only,rla_rank2_noise0.0001,AUROC,higher,0.6348279404183594,0.5984469268269463,0.5984469268269463,0.002797349140724218,3,0.5900580480375381,0.008388878789408194,1.4217039861262113,3 seeds,best-head,exp/integrated/final/ecom-offers/best_rla_only-evaluation/0.toml;exp/integrated/final/ecom-offers/best_rla_only-evaluation/1.toml;exp/integrated/final/ecom-offers/best_rla_only-evaluation/2.toml,exp/integrated/final/ecom-offers/best_rla_only-best-head-evaluation/0;exp/integrated/final/ecom-offers/best_rla_only-best-head-evaluation/1;exp/integrated/final/ecom-offers/best_rla_only-best-head-evaluation/2,clear_win
ecom-offers,best_esam_only,esam_rho0.001,AUROC,higher,0.6366563506545114,0.6004196058355985,0.6004196058355985,0.003493353451214683,3,0.5900580480375381,0.010361557798060361,1.7560234679488995,3 seeds,greedy-heads,exp/integrated/final/ecom-offers/best_esam_only-evaluation/0.toml;exp/integrated/final/ecom-offers/best_esam_only-evaluation/1.toml;exp/integrated/final/ecom-offers/best_esam_only-evaluation/2.toml,exp/integrated/final/ecom-offers/best_esam_only-greedy-heads-evaluation/0;exp/integrated/final/ecom-offers/best_esam_only-greedy-heads-evaluation/1;exp/integrated/final/ecom-offers/best_esam_only-greedy-heads-evaluation/2,clear_win
ecom-offers,best_mfb_only,mfb_keep0.7,AUROC,higher,0.6539769427777475,0.6095164790194458,0.6095164790194458,0.0020894834660806928,3,0.5900580480375381,0.019458430981907693,3.2977146988544748,3 seeds,best-head,exp/integrated/final/ecom-offers/best_mfb_only-evaluation/0.toml;exp/integrated/final/ecom-offers/best_mfb_only-evaluation/1.toml;exp/integrated/final/ecom-offers/best_mfb_only-evaluation/2.toml,exp/integrated/final/ecom-offers/best_mfb_only-best-head-evaluation/0;exp/integrated/final/ecom-offers/best_mfb_only-best-head-evaluation/1;exp/integrated/final/ecom-offers/best_mfb_only-best-head-evaluation/2,clear_win
